feed_title,Avg Score,Min Score,Max Score,Std Dev,Article Count,Source Credibility
ABC News: Sports,48.61,39.48,58.16,7.01,15,high
Sports Brackets,43.49,35.7,54.38,4.46,20,unknown
"Deadspin > Sports News Without Fear,
Favor or Compromise",41.88,-295.42,64.38,12.79,1135,high
Sports Collectors Daily,35.01,29.48,41.93,5.6,18,unknown
Sports Weez,33.54,-20.06,48.16,11.25,43,unknown
SportsLogos.Net News,33.27,29.48,48.16,5.04,64,unknown
MLB News,32.23,-10.06,58.16,20.13,58,high
21Sports.com,31.71,29.48,41.93,4.84,39,unknown
The Cold Wire,31.59,29.48,35.7,2.97,59,unknown
NYT > Sports,31.02,-49.14,45.7,30.18,9,high
www.espn.com - TOP,30.75,-213.97,64.38,36.69,365,high
"NY Post Sports – Latest News, Scores,
Stats & Videos",28.07,-60.44,54.38,19.7,24,unknown
Latest Headlines - The Athletic,27.79,-65.36,48.16,15.66,125,unknown
EssentiallySports,25.49,-20.06,48.16,19.41,34,unknown
Sporting News RSS,23.9,-212.39,41.93,32.95,92,unknown
Sports – UPROXX,22.74,19.48,31.93,4.67,21,low
Boxing News,21.38,-163.13,35.7,33.67,37,unknown
Sports,19.67,-25.06,30.7,16.9,9,medium
Latest Sports News Today on Fox News,18.86,-270.77,38.16,24.28,147,low
Sportskeeda,18.66,-20.06,48.16,22.54,20,unknown
FOX Sports Digital,18.01,-57.15,48.16,25.69,127,unknown
Not the Bee,16.26,-30.06,31.93,14.06,50,low
Sportsdark,15.72,-235.29,48.16,57.15,56,unknown
"Yahoo! Sports - News, Scores, Standings,
Rumors, Fantasy Games",8.33,-6734.58,70.61,428.09,251,high
CBSSports.com Headlines,-521.4,-6722.13,70.61,1895.56,36,high
